ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AVGO,BUY,0.7922,2023-06-01,2023-06-02,76.1382,2023-06-06,76.1382,trailing_stop,0.0,71.5699,0.0
ORCL,BUY,0.7888,2023-05-30,2023-05-31,101.1953,2023-06-07,101.9508,pre_earnings,0.75,97.1283,0.0
CPRT,STRONG_BUY,0.8052,2023-05-18,2023-05-19,44.21,2023-06-12,42.7536,sl_hit,-3.29,42.7536,0.0
SMCI,STRONG_BUY,0.8261,2023-06-07,2023-06-08,24.063,2023-06-13,24.4516,trailing_stop,1.61,22.6192,0.0
ORCL,STRONG_BUY,0.8353,2023-06-12,2023-06-13,119.4544,2023-06-13,113.8639,sl_hit,-4.68,113.8639,0.0
RMBS,STRONG_BUY,0.8248,2023-06-02,2023-06-05,63.1,2023-06-14,63.1,trailing_stop,0.0,59.314,0.0
NFLX,BUY,0.778,2023-06-09,2023-06-12,41.883,2023-06-21,42.6218,trailing_stop,1.76,39.37,0.0
EXAS,STRONG_BUY,0.8118,2023-06-13,2023-06-14,92.73,2023-06-21,94.0595,trailing_stop,1.43,87.1662,0.0
ORCL,STRONG_BUY,0.8015,2023-06-14,2023-06-15,118.1274,2023-06-22,118.1274,trailing_stop,0.0,111.1738,0.0
SOFI,STRONG_BUY,0.81,2023-06-16,2023-06-20,8.31,2023-06-23,7.8114,sl_hit,-6.0,7.8114,0.0
MANH,BUY,0.7518,2023-05-31,2023-06-01,180.57,2023-06-26,186.2,trailing_stop,3.12,173.69,0.0
PEN,BUY,0.75,2023-06-16,2023-06-20,333.97,2023-06-26,333.97,trailing_stop,0.0,318.2493,0.0
CSGP,BUY,0.7993,2023-06-21,2023-06-22,87.35,2023-07-03,87.742,trailing_stop,0.45,83.5171,0.0
PHM,BUY,0.7887,2023-06-23,2023-06-26,74.9504,2023-07-06,74.9504,trailing_stop,0.0,71.9599,0.0
IONQ,BUY,0.7982,2023-06-29,2023-06-30,13.82,2023-07-06,12.9908,sl_hit,-6.0,12.9908,0.0
RCL,STRONG_BUY,0.8206,2023-06-09,2023-06-12,91.1876,2023-07-12,98.2235,trailing_stop,7.72,86.5772,0.0
PANW,BUY,0.7513,2023-06-16,2023-06-20,122.105,2023-07-12,122.968,trailing_stop,0.71,114.9964,0.0
HUBB,STRONG_BUY,0.8116,2023-05-02,2023-05-03,269.228,2023-07-20,326.7812,pre_earnings,21.38,254.11,0.0
PCAR,BUY,0.7662,2023-07-12,2023-07-13,77.2833,2023-07-20,79.7894,pre_earnings,3.24,74.2833,0.0
STRL,BUY,0.7605,2023-06-07,2023-06-08,53.11,2023-07-24,57.551,trailing_stop,8.36,49.9234,0.0
CARR,BUY,0.7598,2023-07-12,2023-07-13,51.5082,2023-07-24,52.0303,pre_earnings,1.01,49.6047,0.0
PNR,BUY,0.7541,2023-07-13,2023-07-14,62.7334,2023-07-24,64.4598,pre_earnings,2.75,60.139,0.0
NVT,BUY,0.7851,2023-07-18,2023-07-19,53.4602,2023-07-24,51.6963,pre_earnings,-3.3,51.3858,0.0
XPO,BUY,0.7772,2023-07-18,2023-07-19,65.13,2023-07-24,65.8255,trailing_stop,1.07,61.2222,0.0
SAIA,BUY,0.7656,2023-07-18,2023-07-19,382.35,2023-07-24,396.58,pre_earnings,3.72,361.6514,0.0
JBL,BUY,0.7947,2023-06-15,2023-06-16,105.3104,2023-07-27,108.8265,trailing_stop,3.34,100.0566,0.0
EXP,BUY,0.7506,2023-06-23,2023-06-26,172.0326,2023-07-27,182.8321,trailing_stop,6.28,164.7959,0.0
VMC,BUY,0.767,2023-06-23,2023-06-26,210.0254,2023-07-31,216.4653,pre_earnings,3.07,203.6079,0.0
XPO,BUY,0.755,2023-07-26,2023-07-27,71.67,2023-07-31,69.24,pre_earnings,-3.39,67.3698,0.0
IONQ,BUY,0.7829,2023-08-01,2023-08-02,19.13,2023-08-02,17.9822,sl_hit,-6.0,17.9822,0.0
ADBE,BUY,0.781,2023-06-16,2023-06-20,485.63,2023-08-03,525.293,trailing_stop,8.17,456.4922,0.0
CARR,BUY,0.75,2023-07-27,2023-07-28,55.4822,2023-08-04,55.4822,trailing_stop,0.0,52.9489,0.0
BAH,BUY,0.7822,2023-08-01,2023-08-02,116.8999,2023-08-04,116.8999,trailing_stop,0.0,113.0019,0.0
PNR,BUY,0.7615,2023-07-27,2023-07-28,68.0593,2023-08-11,68.0593,trailing_stop,0.0,65.2673,0.0
MPC,STRONG_BUY,0.8135,2023-08-07,2023-08-08,130.7936,2023-08-16,134.2976,trailing_stop,2.68,124.8535,0.0
LII,BUY,0.7726,2023-07-27,2023-07-28,352.4867,2023-08-17,354.9681,trailing_stop,0.7,338.1597,0.0
SAIA,STRONG_BUY,0.8002,2023-07-28,2023-07-31,432.75,2023-08-17,406.785,sl_hit,-6.0,406.785,0.0
EME,STRONG_BUY,0.8003,2023-08-01,2023-08-02,212.2837,2023-08-17,212.2837,trailing_stop,0.0,203.8913,0.0
BLDR,BUY,0.7573,2023-08-04,2023-08-07,150.4,2023-08-17,141.376,sl_hit,-6.0,141.376,0.0
CAT,BUY,0.799,2023-08-03,2023-08-04,272.5338,2023-08-21,259.7415,sl_hit,-4.69,259.7415,0.0
BKNG,BUY,0.7794,2023-08-07,2023-08-08,3141.1917,2023-08-21,2971.303,sl_hit,-5.41,2971.303,0.0
OC,BUY,0.7554,2023-07-27,2023-07-28,134.836,2023-08-25,127.9887,sl_hit,-5.08,127.9887,0.0
PR,BUY,0.7841,2023-09-05,2023-09-06,13.1393,2023-09-15,12.3509,sl_hit,-6.0,12.3509,0.0
LLY,BUY,0.754,2023-09-08,2023-09-11,576.993,2023-09-15,576.993,trailing_stop,0.0,558.0859,0.0
FTI,BUY,0.7835,2023-09-06,2023-09-07,20.225,2023-09-19,20.2609,trailing_stop,0.18,19.0487,0.0
MEDP,BUY,0.7555,2023-09-15,2023-09-18,278.37,2023-09-19,267.5329,sl_hit,-3.89,267.5329,0.0
WFRD,BUY,0.7827,2023-09-05,2023-09-06,88.0698,2023-09-20,91.679,trailing_stop,4.1,82.8007,0.0
VST,BUY,0.7726,2023-09-05,2023-09-06,31.3709,2023-09-20,31.6927,trailing_stop,1.03,30.1977,0.0
FNF,BUY,0.7565,2023-09-07,2023-09-08,37.8811,2023-09-26,36.4861,sl_hit,-3.68,36.4861,0.0
CRS,STRONG_BUY,0.8456,2023-09-13,2023-09-14,68.1444,2023-10-03,64.0557,sl_hit,-6.0,64.0557,0.0
APO,BUY,0.7833,2023-09-15,2023-09-18,88.0457,2023-10-03,84.6219,sl_hit,-3.89,84.6219,0.0
CME,BUY,0.7666,2023-10-10,2023-10-11,197.203,2023-10-17,197.203,trailing_stop,0.0,191.1815,0.0
MSTR,BUY,0.7517,2023-11-02,2023-11-03,44.498,2023-11-09,49.5576,trailing_stop,11.37,41.8281,0.0
SNPS,STRONG_BUY,0.8111,2023-11-15,2023-11-16,530.34,2023-11-24,542.69,pre_earnings,2.33,508.4357,0.0
FTAI,STRONG_BUY,0.8366,2023-11-06,2023-11-07,39.2105,2023-11-29,39.8861,trailing_stop,1.72,36.8579,0.0
MSFT,BUY,0.7791,2023-11-20,2023-11-21,369.3082,2023-12-01,369.3082,trailing_stop,0.0,356.9364,0.0
AFRM,BUY,0.7967,2023-12-01,2023-12-04,37.062,2023-12-06,38.4953,trailing_stop,3.87,34.8383,0.0
