date,balance,cash,stock_val,etf_val,sgov_val,n_stocks
2021-11-02,6103.62501499741,97.87541499741053,6005.7496,0.0,0.0,11
2021-11-03,6103.62501499741,97.87541499741053,6005.7496,0.0,0.0,11
2021-11-04,6116.474040437411,809.0410404374105,5307.433,0.0,0.0,10
2021-11-05,6087.709230637411,1405.3774306374105,4682.3318,0.0,0.0,9
2021-11-08,6140.151755677411,886.3987556774107,5253.753,0.0,0.0,10
2021-11-09,6111.157715677411,508.9347156774106,5602.223,0.0,0.0,11
2021-11-10,6167.89324722741,1682.2624472274106,4485.6308,0.0,0.0,9
2021-11-11,6167.89324722741,515.0760472274105,5652.8171999999995,0.0,0.0,11
2021-11-12,6166.628382587411,1000.2975825874105,5166.3308,0.0,0.0,10
2021-11-15,6181.183886587411,930.2630865874104,5250.9208,0.0,0.0,10
2021-11-16,6190.91933858741,1483.8785385874103,4707.0408,0.0,0.0,9
2021-11-17,6181.070820767411,1822.30002076741,4358.7708,0.0,0.0,8
2021-11-18,6194.80053876741,296.90743876740964,5897.8931,0.0,0.0,10
2021-11-19,6149.7611283674105,1587.5568283674097,4562.2043,0.0,0.0,8
2021-11-22,6133.32375060741,1210.9998506074096,4922.3239,0.0,0.0,8
2021-11-23,6023.39858695741,2716.37498695741,3307.0236,0.0,0.0,6
2021-11-24,6023.39858695741,2013.51578695741,4009.8828,0.0,0.0,7
2021-11-25,6023.39858695741,2013.51578695741,4009.8828,0.0,0.0,7
2021-11-26,6061.48027221741,3860.49057221741,2200.9897,0.0,0.0,4
2021-11-29,6061.48027221741,3860.49057221741,2200.9897,0.0,0.0,4
2021-11-30,6110.033550217409,3405.9813502174097,2704.0522,0.0,0.0,5
2021-12-01,6107.9868490974095,1471.4320988800002,1230.5734,3405.9813502174097,0.0,3
2021-12-02,6152.371365913279,81.75754832000007,2636.7019,3433.9119175932788,0.0,6
2021-12-03,6097.886352490449,191.32747232000008,2531.2294,3375.3294801704487,0.0,5
2021-12-06,6069.526349765865,65.08738211908985,3834.1633,2170.2756676467748,0.0,7
2021-12-07,6143.068441624076,20.69224162407562,6122.3762,0.0,0.0,11
2021-12-08,6162.632531624075,470.2363316240756,5692.3962,0.0,0.0,10
2021-12-09,6209.594523274076,1660.6543232740755,4548.9402,0.0,0.0,8
2021-12-10,6224.441005474076,1172.2008054740754,5052.2402,0.0,0.0,9
2021-12-13,6272.710474674076,4004.703874674076,2268.0066,0.0,0.0,4
2021-12-14,6272.710474674076,3258.295874674076,3014.4146,0.0,0.0,5
2021-12-15,6287.489271234076,2721.307171234076,3566.1821,0.0,0.0,6
2021-12-16,6316.035035444076,1399.7950354440768,4916.24,0.0,0.0,8
2021-12-17,6308.071110364077,3208.1007103640773,3099.9704,0.0,0.0,5
2021-12-20,6234.561357664077,2815.690857664077,3418.8705000000004,0.0,0.0,6
2021-12-21,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-22,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-23,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-24,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-27,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-28,6248.523565924077,3368.734465924077,2879.7891000000004,0.0,0.0,5
2021-12-29,6261.719512534077,3953.183512534077,2308.536,0.0,0.0,4
2021-12-30,6261.719512534077,2951.111012534077,3310.6085000000003,0.0,0.0,6
2021-12-31,6261.719512534077,2951.111012534077,3310.6085000000003,0.0,0.0,6
2022-01-03,6274.620933334078,684.8504208,2638.6595,2951.111012534077,0.0,5
2022-01-04,6266.238861408078,1265.71195984,2070.8019,2929.7250015680784,0.0,4
2022-01-05,6219.89168580772,3742.4046078894535,1055.4,1422.0870779182667,0.0,2
2022-01-06,6160.564209163319,4736.7523878894535,0.0,1423.8118212738657,0.0,0
2022-01-07,6153.09023739056,4736.7523878894535,0.0,1416.3378495011063,0.0,0
2022-01-10,6144.753705168382,3483.3313878894533,1253.421,1408.0013172789288,0.0,2
2022-01-11,6138.719801862419,1721.651526289453,3011.3667,1405.7015755729662,0.0,4
2022-01-12,6142.456724824926,210.26592628945298,4522.7523,1409.4384985354732,0.0,6
2022-01-13,6151.009496881692,2366.701796881692,3784.3077000000003,0.0,0.0,5
2022-01-14,6151.009496881692,2366.701796881692,3784.3077000000003,0.0,0.0,5
2022-01-17,6151.009496881692,2366.701796881692,3784.3077000000003,0.0,0.0,5
2022-01-18,6163.485772081693,3158.945272081692,3004.5405,0.0,0.0,4
2022-01-19,6183.683520181692,3955.4207201816926,2228.2628,0.0,0.0,3
2022-01-20,6183.683520181692,3955.4207201816926,2228.2628,0.0,0.0,3
2022-01-21,6170.431334701692,1433.38821452,781.6224,0.0,3955.4207201816926,1
2022-01-24,6136.897205112053,6136.897205112053,0.0,0.0,0.0,0
2022-01-25,6136.897205112053,83.4750366645668,714.3216,0.0,5339.100568447486,1
2022-01-26,6137.059353047916,0.0,714.3216,0.0,5422.737753047916,1
2022-01-27,6136.786824564733,0.0,714.3216,0.0,5422.465224564733,1
2022-01-28,6113.2024061199545,6113.2024061199545,0.0,0.0,0.0,0
2022-01-31,6113.202406119955,4723.369406119955,1389.833,0.0,0.0,2
2022-02-01,6113.202406119955,0.0,1389.833,4723.369406119955,0.0,2
2022-02-02,6164.336340429332,45.72476942347271,1628.8369,4489.77467100586,0.0,3
2022-02-03,6154.387164874526,544.8689054234727,1141.6769,4467.841359451053,0.0,2
2022-02-04,6195.830733203085,42.09713715824478,2680.5838,3473.14979604484,0.0,5
2022-02-07,6212.307435483286,1044.0527005582449,1662.6526,3505.6021349250414,0.0,3
2022-02-08,6164.581318989525,517.0307005582448,2189.6746000000003,3457.8760184312805,0.0,4
2022-02-09,6184.586368144759,42.92423901699317,2736.227,3405.4351291277662,0.0,5
2022-02-10,6158.715789175143,270.660928466155,3007.9804,2880.0744607089878,0.0,6
2022-02-11,6225.722304950652,0.0,3007.9804,0.0,3217.7419049506525,6
2022-02-14,6197.530134546858,498.51010980000007,2480.9584,0.0,3218.0616247468574,5
2022-02-15,6197.530134546858,3716.5717345468574,2480.9584,0.0,0.0,5
2022-02-16,6197.530134546858,3716.5717345468574,2480.9584,0.0,0.0,5
2022-02-17,6197.530134546856,121.01902150803176,3042.5132,0.0,3033.997913038825,6
2022-02-18,6180.574109546857,622.8939750000001,2402.6632,0.0,3155.016934546857,5
2022-02-21,6180.574109546857,0.0,2402.6632,0.0,3777.910909546857,5
2022-02-22,6180.235016031258,0.0,2402.6632,0.0,3777.5718160312576,5
2022-02-23,6180.574109546857,0.0,2402.6632,0.0,3777.910909546857,5
2022-02-24,6087.298907222754,1763.21462436,546.5524,0.0,3777.5318828627537,1
2022-02-25,6087.677933906858,0.0,546.5524,0.0,5541.1255339068575,1
2022-02-28,6087.677933906858,0.0,546.5524,0.0,5541.1255339068575,1
2022-03-01,6088.121184677451,0.0,546.5524,0.0,5541.568784677452,1
2022-03-02,6087.566748943125,0.0,546.5524,0.0,5541.014348943125,1
2022-03-03,6087.84123682234,0.0,546.5524,0.0,5541.288836822339,1
2022-03-04,6088.121184677451,0.0,546.5524,0.0,5541.568784677452,1
2022-03-07,6102.440857557452,560.87207288,0.0,0.0,5541.568784677452,0
2022-03-08,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-09,6101.830306392338,0.0,0.0,0.0,6101.830306392338,0
2022-03-10,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-11,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-14,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-15,6101.830306392338,0.0,0.0,0.0,6101.830306392338,0
2022-03-16,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-17,6102.440857557453,0.0,0.0,0.0,6102.440857557453,0
2022-03-18,6102.440857557453,6102.440857557453,0.0,0.0,0.0,0
2022-03-21,6102.440857557453,5030.128057557453,1072.3128000000002,0.0,0.0,2
2022-03-22,6102.440857557453,5030.128057557453,1072.3128000000002,0.0,0.0,2
2022-03-23,6102.440857557453,4264.457657557453,1837.9832000000001,0.0,0.0,3
2022-03-24,6102.440857557453,3787.049057557453,2315.3918,0.0,0.0,4
2022-03-25,6102.440857557453,3787.049057557453,2315.3918,0.0,0.0,4
2022-03-28,6102.4408575574535,2860.4920575574533,3241.9488,0.0,0.0,6
2022-03-29,6085.199780937453,3268.711980937453,2816.4878,0.0,0.0,5
2022-03-30,6108.087027937453,3031.079427937453,3077.0076,0.0,0.0,5
2022-03-31,6143.8369614174535,4058.8811614174533,2084.9558,0.0,0.0,3
2022-04-01,6143.8369614174535,46.72406165891522,4685.7481,1411.364799758538,0.0,7
2022-04-04,6158.327892936775,280.96467738891545,4476.8405999999995,1400.5226155478606,0.0,7
2022-04-05,6188.959799374551,918.8171317889155,3860.8341,1409.3085675856353,0.0,6
2022-04-06,6217.000245472161,918.8171317889155,3860.8341,1437.3490136832454,0.0,6
2022-04-07,6225.820008636382,54.235508636382576,6171.5845,0.0,0.0,10
2022-04-08,6226.304659336382,54.72015933638258,6171.5845,0.0,0.0,10
2022-04-11,6253.1298648563825,726.8490055199999,5471.5607,0.0,54.72015933638258,9
2022-04-12,6225.887782856383,751.103118,4693.2155,0.0,781.5691648563826,8
2022-04-13,6225.926978934356,0.0,4693.2155,0.0,1532.7114789343561,8
2022-04-14,6225.972684599446,0.0,4693.2155,0.0,1532.7571845994464,8
2022-04-15,6225.972684599446,0.0,4693.2155,0.0,1532.7571845994464,8
2022-04-18,6226.003017788591,0.0,4693.2155,0.0,1532.7875177885903,8
2022-04-19,6256.018579188591,1414.0333614,3309.1976999999997,0.0,1532.7875177885903,6
2022-04-20,6256.018579188591,0.0,3309.1976999999997,0.0,2946.8208791885904,6
2022-04-21,6270.62144798859,644.0368688,2679.7637,0.0,2946.8208791885904,5
2022-04-22,6267.306277458591,1647.77492947,1028.6736,0.0,3590.8577479885907,2
2022-04-25,6308.3130715261495,1069.50097184,0.0,0.0,5238.81209968615,0
2022-04-26,6308.574353929331,0.0,0.0,0.0,6308.574353929331,0
2022-04-27,6308.574353929331,0.0,0.0,0.0,6308.574353929331,0
2022-04-28,6309.20585416192,0.0,0.0,0.0,6309.20585416192,0
2022-04-29,6309.20585416192,0.0,0.0,0.0,6309.20585416192,0
2022-05-02,6308.891233741927,0.0,0.0,0.0,6308.891233741927,0
2022-05-03,6308.891233741927,0.0,0.0,0.0,6308.891233741927,0
2022-05-04,6308.891233741927,0.0,0.0,0.0,6308.891233741927,0
2022-05-05,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-06,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-09,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-10,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-11,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-12,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-13,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-16,6309.521039430063,0.0,0.0,0.0,6309.521039430063,0
2022-05-17,6310.15140996635,0.0,0.0,0.0,6310.15140996635,0
2022-05-18,6310.15140996635,0.0,0.0,0.0,6310.15140996635,0
2022-05-19,6310.781780502637,0.0,0.0,0.0,6310.781780502637,0
2022-05-20,6310.15140996635,0.0,0.0,0.0,6310.15140996635,0
2022-05-23,6311.099225163383,0.0,0.0,0.0,6311.099225163383,0
2022-05-24,6311.413280735225,0.0,0.0,0.0,6311.413280735225,0
2022-05-25,6311.413280735225,0.0,0.0,0.0,6311.413280735225,0
2022-05-26,6312.043651271512,0.0,0.0,0.0,6312.043651271512,0
2022-05-27,6312.043651271512,0.0,0.0,0.0,6312.043651271512,0
2022-05-30,6312.043651271512,0.0,0.0,0.0,6312.043651271512,0
2022-05-31,6312.043651271512,0.0,0.0,0.0,6312.043651271512,0
