month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2021-10,-0.5469,-2.7072,2.1603,TSLA|SLAB|SAIA|TYL|UNH|BG|TEAM|UPS|TTEK|ZS|IONQ|SHW|SCI|BE|KKR|MLI|SITE|TMO|TER|SPGI|ZTS|RSG|SSNC|MANH|SPOT|NVDA|UNP|TKO|CHRD|SNPS|TSCO|KNX|MAS|INTU|MSFT|SMTC|REXR|FIX|WDAY|ADP|CWST|FSLR|EXR|F|WCC|SPG|DAR|XOM|GNRC|WFRD|FDS|EIX|ICE|CDNS|ODFL|ARES|COIN|NET|COST|CG|TMHC|HD|CUBE|SNOW|NSC|MRK|CB|ANET|EXC|LULU|EPAM|CSX|MCO|NFLX|BX|DXCM|TROW|LOW|TW|TGT|ZWS|MPWR|STT|ALB|ACN|REGN|AVGO|PLD|AJG|FWONK|URI|AMP|NVT|POOL|CTAS|TECH|STRL|ENTG|OWL|ABT
2021-11,3.8175,4.8938,-1.0762,HPQ|PSTG|SHW|PFE|TER|LRCX|FWONK|ONTO|FDS|AAPL|TW|ZS|RMBS|VRSN|AMD|TTEK|MU|COST|DLTR|TSCO|VRSK|RBLX|ZTS|NVDA|AAON|KEYS|PANW|EIX|HD|TSLA|QCOM|UDR|DLR|REXR|ON|PLD|TMO|MRNA|SLAB|ODFL|MP|BLDR|INTU|KLAC|LOW|STAG|POOL|AU|AVGO|SFM|SITE|FR|IONQ|ADP|SAIA|TTD|FFIV|MKC|KNX|MAA|ZBRA|UNH|CIEN|EXR|ORLY|WST|RSG|ACI|SNPS|SJM|DVN|SPG|RKLB|DELL|CPT|NEE|DHR|IR|MPWR|WM|BX|CHD|MCHP|SCI|F|UNP|RVTY|ENTG|MRVL|ANET|BURL|AKAM|DPZ|LNG|BJ|HUBS|SMTC|FLR|ADBE|FAST
2021-12,-8.1063,-6.2041,-1.9022,SFM|STAG|SBAC|YUM|ORLY|ZTS|SHW|UNH|MCK|RVTY|EXR|TSCO|WTRG|REXR|GDDY|CTSH|STZ|BLDR|PSA|NI|PLD|SO|PG|PAYX|FR|ABBV|CHD|ACN|VST|DLR|FERG|HSY|COR|DPZ|ARE|MKC|CCI|SCI|MAA|DGX|WPC|INVH|CYTK|OGE|CL|CHRW|RPM|EXC|BG|TW|RSG|TOL|AWK|MDLZ|CVS|AMT|ATO|COST|TMO|SUI|VRSN|LIN|ED|ADP|LOW|ONTO|PEP|CSCO|FWONK|WY|UNP|FFIV|TSN|KMB|CIEN|WST|CPT|NEE|LITE|THC|AVGO|IRM|CNH|BRO|AMH|MSI|PPL|HRL|UDR|APH|WM|FE|SITE|AAPL|ANET|KO|H|KNX|RYN|TMHC
2022-01,1.3308,-0.3045,1.6353,XOM|SLB|HAL|ADM|EOG|VRTX|NI|LMT|WMB|VNOM|COP|GLW|CVX|MKC|SO|BG|TRGP|PKG|PM|ABBV|MO|MCK|SRE|APA|NOV|OXY|CVS|VLO|ATO|ED|BRK-B|TSN|KO|COR|DVN|AFL|ZION|WY|KEX|AXS|DTM|EXC|SF|OGE|FANG|BMY|PGR|FE|XEL|BALL|LNG|CNP|PSX|MA|AEP|BKR|AXP|AAPL|MET|DTE|VTRS|KMI|PCG|MPC|HSY|WRB|D|PR|CHD|GD|ACGL|SJM|KDP|RJF|EWBC|GL|CCK|FOXA|OHI|PCAR|BX|DE|WFRD|JNJ|V|CTRA|ETR|CTVA|WFC|GIS|IBM|DOW|FIS|RTX|MDLZ|MTB|PEG|WEC|PEP|TJX
2022-02,6.5881,2.6329,3.9552,LNG|LMT|EXE|NOC|CVX|GD|DVN|MOS|OVV|RTX|CF|TRGP|FHN|WMB|BG|VNOM|ABBV|SRE|ADM|HSIC|LHX|HII|RRC|AR|PR|OXY|HAL|COP|ATO|FCX|NUE|MCK|VST|ATI|EOG|APA|PANW|IRM|EXC|XOM|AEP|FANG|LDOS|CMC|STLD|KHC|AA|OKE|BKR|TKO|COR|BWXT|TAP|BRK-B|PFGC|HWM|CTVA|NI|RGLD|RL|OGE|JBHT|MPC|AU|ED|CCK|UHS|FE|UEC|WWD|SYY|BMY|GEN|AXP|FTNT|CI|HSY|BLDR|LYV|EXEL|KMI|DTE|DTM|KDP|STE|THC|KO|MTB|JKHY|SSB|SCCO|WRB|PCVX|ACGL|CTRA|CMS|EIX|PSA|BDX|TXRH
2022-03,-4.0623,-8.0491,3.9869,EQT|FWONK|AR|EXC|SRE|NI|TRGP|RRC|OGE|CNP|WRB|OVV|BMY|ED|ABBV|VLO|VRTX|IRM|EIX|HQY|MPC|JKHY|MCK|REGN|AEP|FE|AXS|ATO|COR|EXE|BRK-B|CMS|NFG|DTE|ADM|WELL|DUK|AEE|PSA|PAYX|MP|SO|HSY|VTR|WMB|AJG|MRSH|KR|KMI|NEM|COST|D|RGLD|TSLA|CF|DLTR|BXP|PEG|NUE|CTVA|GME|APA|MOS|AON|CINF|MRK|OKE|ALL|L|UNM|BRO|AXSM|PWR|ELV|VST|EXEL|CTAS|UNP|STLD|PNW|LLY|LNG|AGCO|CTRA|PLD|HAL|AES|ETR|TKO|WMT|ACGL|AA|XEL|PGR|WEC|EVRG|AFL|CB|LULU|DOX
2022-04,2.5188,0.3134,2.2055,VLO|AR|MRK|HSY|MO|VST|VRTX|WM|BMY|EQT|LLY|MPC|KO|KHC|KMB|CTRA|HST|WRB|WMB|XOM|CTVA|NFG|NUE|RYN|CYTK|PKG|MCK|ELV|RSG|STLD|WY|APA|JNJ|PTC|RPRX|HRL|AEP|DOW|SANM|REXR|GIS|DLTR|PG|OVV|ADM|PEP|HUBB|EIX|SHW|UAL|LNG|ROP|SRE|RRC|VICI|WDC|CNP|TRGP|KIM|WMT|GD|STZ|EXC|DTE|PCG|OXY|SO|XEL|IRM|BG|CMC|TAP|PSX|DG|ED|CVX|CHRW|SMCI|EOG|CF|COR|ETR|DVN|HLT|AEE|CMS|DAL|AMCR|EXEL|ATI|ARW|UNH|DUK|GTLS|MKC|MAR|NOC|FHN|PEG|LYB
2022-05,-10.8258,-9.5002,-1.3255,AR|EQT|RRC|CTRA|MPC|CHRD|CTVA|LLY|TKO|VNOM|EXE|OXY|LNT|FANG|ED|DINO|APA|HAL|DVN|VLO|EOG|OGE|NFG|CNP|WMB|HALO|WRB|PGR|XOM|NI|AMGN|NRG|MOD|OVV|ALB|EXC|COP|SLB|EVRG|PSX|T|UGI|DOX|CVX|LPLA|VST|SO|ORA|DUK|MRK|ALL|VTRS|DLTR|AEE|ETR|ULTA|LUMN|CMS|ES|EIX|STLD|AEP|ADM|BKR|PFE|ATO|ELV|FLR|WPC|PPL|WFRD|WEC|MCK|AMCR|LYB|DTE|NOV|UNM|IBM|EA|CEG|KMI|PNW|JKHY|VRTX|L|BG|AFL|IRM|D|AVAV|SRE|CI|MTB|TRV|CCI|PM|KR|AMT|HIG
2022-06,4.0864,10.6961,-6.6097,GIS|LLY|LW|MRK|RBA|MCK|AXSM|UNH|VRTX|NOC|BMY|HII|ABBV|ADC|HUM|T|KMB|BAH|BWXT|ED|CAG|OLLI|RPRX|WEC|WRB|MNST|SYY|CI|DG|PFE|PGR|SCI|PFGC|IBM|AMCR|DINO|AEE|EXC|UNM|DTE|KO|EXEL|XEL|LHX|CL|CMS|CHD|DOX|ETR|HSY|SO|AEP|LNG|BMRN|ORA|RSG|DUK|LMT|PWR|TAP|CNC|AXS|FWONK|RTX|ATO|NBIX|D|NI|OGE|WM|JAZZ|TTEK|PEP|CNP|ROL|OXY|BJ|WPC|CELH|AJG|BBIO|GL|O|ELV|CYTK|TKO|ACGL|EXE|EVRG|GTLS|DLTR|LPLA|QGEN|PNW|ES|TMUS|GLPI|MDLZ|PCVX|CTVA
2022-07,-1.2453,-2.0812,0.836,MLI|LW|FIX|GPC|CRDO|JKHY|CDNS|TKO|FSLR|SNPS|ADC|RRC|ON|ONB|LNG|GTLS|NFG|VICI|GLPI|HUBB|RGEN|WMS|AR|WING|EQT|XOM|VNOM|WTRG|NDAQ|CVX|TAP|ATO|SMCI|CELH|LPLA|CTRA|SRE|PWR|SSB|MOD|APH|ALB|ED|BAH|CNC|MOH|WPC|CAH|PB|AJG|SO|FTV|OXY|DVN|DINO|ALSN|MTB|TKR|RBA|CRUS|MTSI|ADP|FWONK|NEE|PCAR|URI|SANM|CSGP|LSCC|SPXC|O|AEIS|PTC|EXE|ROL|ORLY|KLAC|CEG|KNX|NNN|FTI|HXL|SCI|RMD|STRL|MCK|FLS|ADI|DHR|VST|DTM|WAT|MANH|KEYS|TTEK|NOV|CHRD|MNST|IEX|GKOS
