date,balance,cash,stock_val,etf_val,sgov_val,n_stocks,etf_names
2023-04-20,6481.262810778118,837.5043117487361,530.1659999999999,5113.592499029382,0.0,1,XLC+XLK
2023-04-21,6474.683009910201,112.08871174873616,1255.5816,5107.012698161465,0.0,2,XLC+XLK
2023-04-24,6458.1425601279625,18.56353281663519,2615.5802999999996,3823.998727311328,0.0,4,XLK+XLP
2023-04-25,6395.302582893277,18.56353281663519,2615.5802999999996,3761.1587500766423,0.0,4,XLK+XLP
2023-04-26,6439.989192033004,19.589141836290423,4744.4581,1675.9419501967132,0.0,7,XLK+XLP
2023-04-27,6466.207113079264,122.72951861931364,6327.9717,15.505894459950783,0.0,10,XLP
2023-04-28,6477.113205053598,47.11530505359747,6429.9979,0.0,0.0,10,-
2023-05-01,6560.543186883598,3120.8484818300003,3392.5793999999996,47.11530505359747,0.0,5,XLC+XLK
2023-05-02,6580.97459527769,2625.16200191,3909.354,46.4585933676895,0.0,6,XLC+XLK
2023-05-03,6604.491779023314,52.40047902331412,6552.0913,0.0,0.0,9,-
2023-05-04,6548.445199543314,2533.3030995433137,4015.1421,0.0,0.0,6,-
2023-05-05,6592.140887143314,1997.9519871433135,4594.1889,0.0,0.0,7,-
2023-05-08,6592.140887143314,61.597772439686196,5993.985900000001,536.5572147036272,0.0,9,XLK
2023-05-09,6588.023330693608,4.337430693607189,6583.6859,0.0,0.0,10,-
2023-05-10,6588.023330693608,4.337430693607189,6583.6859,0.0,0.0,10,-
2023-05-11,6588.023330693608,4.337430693607189,6583.6859,0.0,0.0,10,-
2023-05-12,6588.023330693608,4.337430693607189,6583.6859,0.0,0.0,10,-
2023-05-15,6600.685087853608,824.31285716,5772.0348,4.337430693607189,0.0,9,QQQ+XLK
2023-05-16,6612.071032684398,610.2028671600001,5997.526,4.34216552439811,0.0,9,QQQ+XLK
2023-05-17,6583.1720628777275,1216.2086911600002,5362.566,4.397371717728213,0.0,8,QQQ+XLK
2023-05-18,6597.768307778604,447.8694945200001,6145.4156,4.483213258603076,0.0,9,QQQ+XLK
2023-05-19,6597.762266124294,447.8694945200001,6145.4156,4.477171604293275,0.0,9,QQQ+XLK
2023-05-22,6621.06590747848,676.0696679000002,5492.6378,452.3584395784796,0.0,8,XLC+XLK
2023-05-23,6641.596380633507,5133.418138199999,1061.9728,446.20544243350804,0.0,2,XLC+XLK
2023-05-24,6605.871180646381,5651.452138199998,510.8728,443.54624244638217,0.0,1,XLC+XLK
2023-05-25,6614.399704959028,5651.452138199998,510.8728,452.07476675902933,0.0,1,XLC+XLK
2023-05-26,6625.45788951989,4241.574238199999,1920.7507,463.13295131989105,0.0,3,XLC+XLK
2023-05-29,6625.45788951989,0.0,1920.7507,4704.707189519891,0.0,3,QQQ+XLK
2023-05-30,6663.855330631431,142.54119298208616,2790.0191,3731.2950376493445,0.0,4,QQQ+XLK
2023-05-31,6650.9486656537765,966.0520217820861,1981.3871,3703.5095438716908,0.0,3,QQQ+XLK
2023-06-01,6690.316333215294,130.81202178208605,2816.6271,3742.877211433208,0.0,4,QQQ+XLK
2023-06-02,6734.9682508008655,43.91660925065321,5448.1031,1242.948541550212,0.0,8,XLK
2023-06-05,6694.713411566461,8.350311566461414,6686.3631,0.0,0.0,11,-
2023-06-06,6714.167397566462,68.99929756646145,6645.1681,0.0,0.0,11,-
