month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2019-12,-2.508,-2.508,0.0,AG|PAAS|HL|AMD|WPM|RIG|GDX|NEM|ON|FCX|NVDA|LRCX|BMY|ASML|SMH|TSM|KLAC|LLY|MU|AMT|INTC|AMAT|TDG|EOG|FANG|DVN|COP|SLB|QCOM|XLK|AMGN|QQQ|EQIX|SLV|MRVL|HAL|MRNA|XLF|VRTX|REGN|XLV|RTX|VRT|IWM|IBB|HII|OXY|XLE|AVGO|DIA|HWM|ABBV|BIIB|CVX|LMT|DLR|BNTX|XAR|XOM|LHX|NOC|GILD|GD|BA|GOLD|RCAT
2020-01,-6.4626,-6.4626,0.0,RCAT|VRT|TDG|NEM|LMT|INTC|LLY|PAAS|LHX|HWM|MRNA|XLK|WPM|NOC|QQQ|VRTX|GDX|EQIX|LRCX|AMT|AMD|NVDA|BMY|RTX|SLV|HII|XAR|XLF|DLR|DIA|HL|AVGO|SMH|GILD|MU|XLV|ASML|IWM|QCOM|ON|AMAT|IBB|GD|TSM|ABBV|KLAC|BA|AMGN|COP|REGN|AG|BNTX|HAL|FCX|BIIB|MRVL|CVX|XLE|DVN|EOG|SLB|XOM|OXY|GOLD|FANG|RIG
2020-02,-15.1363,-15.1363,-0.0,MRNA|REGN|BNTX|NVDA|GILD|RCAT|GOLD|NEM|WPM|BIIB|VRT|LRCX|AMD|TSM|MU|VRTX|ABBV|AMT|EQIX|AMAT|BMY|DLR|ASML|IBB|HWM|LLY|QQQ|SLV|HL|SMH|TDG|GDX|XLK|PAAS|KLAC|LHX|INTC|XLV|NOC|LMT|QCOM|AMGN|DIA|IWM|RTX|XAR|XLF|AVGO|ON|HII|GD|MRVL|FCX|AG|CVX|COP|EOG|XLE|XOM|HAL|SLB|OXY|FANG|DVN|BA|RIG
2020-03,18.4057,18.4057,0.0,GOLD|MRNA|NVDA|DLR|REGN|VRTX|BNTX|EQIX|RCAT|BIIB|LLY|GILD|AMD|MRVL|INTC|BMY|ASML|LHX|IBB|NEM|LMT|AMT|QQQ|WPM|LRCX|XLV|XLK|KLAC|ABBV|VRT|SMH|AVGO|AMGN|HII|XAR|NOC|IWM|RTX|DIA|AMAT|XLF|BA|MU|FANG|XLE|QCOM|HWM|GD|CVX|OXY|XOM|HAL|TSM|TDG|COP|SLV|AG|ON|FCX|HL|EOG|DVN|GDX|PAAS|SLB|RIG
2020-04,6.3742,6.3742,0.0,GILD|GOLD|WPM|NVDA|HL|DLR|AMGN|MRNA|PAAS|GDX|NEM|RCAT|MRVL|KLAC|IBB|QQQ|XLK|AG|EQIX|VRT|SMH|LLY|MU|ASML|DVN|FANG|COP|TSM|BMY|QCOM|REGN|LMT|XLV|CVX|FCX|AVGO|ON|XLE|ABBV|HAL|IWM|INTC|XOM|EOG|AMD|DIA|BNTX|VRTX|XLF|TDG|OXY|XAR|LHX|AMT|RIG|SLB|HWM|RTX|BIIB|NOC|HII|AMAT|LRCX|SLV|BA|GD
2020-05,5.3596,5.3596,-0.0,MRVL|PAAS|REGN|AG|ASML|AMT|NVDA|GOLD|EQIX|VRT|HL|VRTX|SLV|DLR|AVGO|IBB|QQQ|XLK|INTC|KLAC|LMT|LHX|ABBV|SMH|XLV|HII|TDG|GD|AMAT|GILD|DIA|XAR|WPM|QCOM|LRCX|IWM|LLY|AMD|NOC|MRNA|MU|GDX|AMGN|XLF|ON|BA|RTX|SLB|FCX|HWM|BIIB|BNTX|CVX|HAL|XOM|XLE|NEM|BMY|EOG|TSM|FANG|COP|RIG|DVN|OXY|RCAT
2020-06,5.6917,5.6917,0.0,BNTX|PAAS|LRCX|GDX|NEM|GOLD|WPM|ASML|LLY|FCX|NVDA|MRVL|ABBV|KLAC|AG|QCOM|HL|MU|HWM|REGN|XLK|TSM|AVGO|SMH|MRNA|QQQ|AMAT|VRTX|SLV|AMGN|IBB|EQIX|GILD|VRT|ON|AMT|DLR|IWM|BMY|XLV|INTC|DIA|AMD|HAL|BA|TDG|XAR|GD|OXY|RIG|LMT|CVX|XLF|NOC|EOG|COP|XLE|SLB|XOM|BIIB|FANG|DVN|HII|RTX|RCAT|LHX
2020-07,2.0322,2.0322,-0.0,AMD|TSM|QCOM|HL|SLV|LRCX|GOLD|GDX|EQIX|WPM|NEM|DLR|PAAS|NVDA|SMH|AG|XLK|AMAT|VRT|QQQ|MRVL|KLAC|REGN|MRNA|AVGO|FCX|HAL|BNTX|AMT|NOC|IWM|XLV|ON|MU|TDG|DIA|ABBV|LMT|BMY|RIG|XLF|IBB|AMGN|ASML|BIIB|GD|VRTX|XAR|SLB|FANG|RCAT|LHX|HII|HWM|LLY|XLE|EOG|DVN|XOM|GILD|CVX|OXY|BA|COP|RTX|INTC
2020-08,-5.7039,-5.7039,0.0,FCX|NVDA|XLK|AMD|QQQ|MRVL|QCOM|SLV|AVGO|HL|AMGN|PAAS|GOLD|SMH|WPM|VRT|AG|GDX|EQIX|TSM|TDG|NEM|DIA|VRTX|ASML|DLR|ON|HWM|XLV|HAL|REGN|KLAC|IBB|ABBV|BIIB|NOC|BMY|IWM|XLF|LMT|INTC|LLY|AMT|LHX|MRNA|MU|BA|XAR|AMAT|LRCX|RTX|GILD|GD|SLB|DVN|EOG|BNTX|CVX|RCAT|COP|XLE|FANG|XOM|HII|OXY|RIG
2020-09,-1.3722,-1.3722,-0.0,GOLD|NVDA|MRNA|MRVL|QCOM|AVGO|VRT|BNTX|SMH|AMD|TSM|LRCX|XLK|ON|FCX|KLAC|QQQ|AMGN|BIIB|ASML|AMAT|EQIX|XLV|IBB|DIA|VRTX|BMY|DLR|INTC|IWM|NEM|WPM|HL|GDX|XLF|PAAS|LMT|SLV|XAR|LLY|BA|HWM|AMT|TDG|REGN|ABBV|MU|DVN|GD|GILD|NOC|LHX|RTX|AG|HII|FANG|COP|CVX|XLE|XOM|HAL|EOG|RIG|OXY|SLB|RCAT
2020-10,21.0492,21.0492,0.0,RCAT|FCX|ON|NEM|QCOM|BNTX|VRT|TSM|ABBV|SLV|MU|GOLD|TDG|SMH|KLAC|AVGO|LRCX|NVDA|IWM|HWM|BMY|QQQ|ASML|AMAT|PAAS|IBB|MRNA|XLK|XLF|XLV|GDX|MRVL|AG|DIA|HII|EQIX|AMD|AMT|DLR|HAL|WPM|REGN|XAR|AMGN|LMT|SLB|DVN|LHX|GD|NOC|VRTX|CVX|HL|GILD|LLY|XOM|XLE|BIIB|RTX|EOG|RIG|INTC|BA|OXY|FANG|COP
2020-11,8.1795,8.1795,0.0,MRNA|BNTX|FCX|MRVL|RIG|AMAT|LRCX|DVN|KLAC|MU|OXY|SMH|BA|AVGO|AMD|ON|ASML|TSM|RTX|HAL|ABBV|QCOM|XAR|SLB|IWM|EOG|VRT|TDG|GOLD|QQQ|FANG|IBB|HWM|XLE|XLF|COP|XLK|CVX|RCAT|DIA|XOM|NVDA|INTC|LLY|LHX|XLV|BMY|HII|GD|VRTX|LMT|GILD|AMT|AG|NOC|AMGN|HL|SLV|EQIX|REGN|NEM|PAAS|GDX|DLR|BIIB|WPM
2020-12,5.6473,5.6473,-0.0,HL|RCAT|AG|FCX|TSM|AVGO|MU|ON|ASML|PAAS|SLV|HWM|MRVL|SMH|ABBV|QCOM|LLY|XLF|AMAT|TDG|KLAC|QQQ|XLK|XAR|FANG|IWM|DVN|LRCX|DIA|XLV|DLR|RTX|RIG|HII|HAL|AMD|SLB|LHX|BMY|IBB|EOG|EQIX|XOM|XLE|VRT|NVDA|OXY|INTC|NEM|AMGN|COP|GDX|AMT|NOC|BA|GD|VRTX|WPM|CVX|LMT|GILD|MRNA|REGN|BIIB|BNTX|GOLD
2021-01,6.108,6.108,0.0,MRNA|AG|BNTX|RCAT|LLY|SLV|RIG|VRT|BIIB|MRVL|ASML|IBB|AVGO|EQIX|TSM|DLR|HL|PAAS|GILD|MU|QCOM|GOLD|AMAT|IWM|QQQ|KLAC|XLK|INTC|SMH|ON|AMT|XLV|FCX|AMGN|FANG|DIA|OXY|LRCX|NVDA|ABBV|XOM|XAR|WPM|XLF|VRTX|RTX|DVN|XLE|AMD|GD|NEM|BMY|SLB|REGN|CVX|GDX|EOG|TDG|HWM|COP|HAL|BA|NOC|HII|LHX|LMT
2021-02,3.0749,3.0749,0.0,HL|DVN|HAL|COP|XLE|EOG|AG|XOM|SLB|MU|FANG|OXY|AMAT|CVX|FCX|PAAS|XLF|LLY|RCAT|ON|LRCX|ABBV|INTC|KLAC|RIG|ASML|HWM|AVGO|VRT|IWM|SMH|GD|SLV|HII|TSM|DIA|RTX|BMY|BIIB|MRNA|BA|XAR|BNTX|XLV|TDG|XLK|NVDA|IBB|VRTX|QQQ|GOLD|MRVL|NOC|LHX|LMT|AMGN|DLR|AMD|QCOM|GILD|NEM|AMT|WPM|EQIX|GDX|REGN
2021-03,3.3881,3.3881,-0.0,AMAT|ASML|KLAC|LRCX|HII|HWM|BA|GD|BNTX|ON|GOLD|AMT|EOG|LHX|SMH|MRVL|XAR|INTC|XLF|LMT|BIIB|AMGN|NOC|DIA|ABBV|MU|RTX|CVX|TSM|IWM|XLV|XLE|NVDA|BMY|COP|XLK|DLR|AVGO|QQQ|XOM|FCX|SLB|FANG|GILD|VRT|LLY|EQIX|RIG|NEM|HAL|DVN|RCAT|QCOM|OXY|IBB|TDG|AG|REGN|WPM|GDX|MRNA|VRTX|AMD|SLV|HL|PAAS
2021-04,5.5528,5.5528,-0.0,BNTX|FANG|DVN|MRNA|RTX|FCX|VRT|EOG|XLF|GD|NOC|SLB|XLE|XOM|HII|DLR|GOLD|OXY|ABBV|TDG|ASML|COP|XAR|AMT|CVX|NVDA|HWM|LRCX|DIA|AMAT|IWM|QQQ|LHX|LMT|XLK|QCOM|XLV|SLV|IBB|EQIX|MU|SMH|AMD|HAL|BA|TSM|AVGO|WPM|RIG|KLAC|VRTX|BIIB|NEM|HL|ON|PAAS|GDX|RCAT|BMY|LLY|REGN|MRVL|GILD|AMGN|INTC|AG
2021-05,3.0949,3.3927,-0.2978,MRNA|HL|NVDA|HWM|VRT|DVN|BNTX|AMAT|FCX|RTX|TDG|GOLD|BA|ASML|AG|WPM|LRCX|NEM|GDX|MRVL|XAR|SMH|AVGO|XLF|EOG|HII|LHX|AMT|ON|FANG|SLV|EQIX|COP|LLY|DIA|SLB|NOC|TSM|GD|IWM|OXY|KLAC|HAL|DLR|PAAS|QQQ|XLE|RIG|MU|XLK|XLV|AMD|BMY|XOM|LMT|QCOM|ABBV|CVX|IBB|INTC|REGN|GILD|AMGN|BIIB|VRTX|RCAT
2021-06,0.3533,0.1858,0.1675,RIG|MRNA|MRVL|NVDA|AMD|LLY|FANG|OXY|VRT|REGN|SMH|QCOM|AMAT|XLK|BNTX|QQQ|LRCX|MU|COP|IBB|KLAC|AMT|DVN|ASML|TSM|AVGO|EQIX|GILD|XOM|XLV|DIA|BMY|HWM|XLF|XAR|IWM|XLE|ON|EOG|GD|AMGN|HAL|NOC|BIIB|HII|VAL|SLB|FCX|RTX|LHX|ABBV|LMT|VRTX|CVX|SLV|TDG|DLR|WPM|INTC|BA|GOLD|NEM|AG|HL|RCAT|GDX|PAAS
2021-07,0.5585,0.5585,0.0,BNTX|AMD|MRNA|GOLD|ASML|KLAC|MRVL|FCX|LLY|VRT|QCOM|ON|GD|SMH|WPM|NVDA|AMAT|RTX|XLV|XLK|LHX|AVGO|QQQ|AMT|LRCX|CVX|IBB|BMY|BIIB|DIA|COP|XLF|GDX|HWM|ABBV|REGN|NEM|EQIX|NOC|TDG|SLB|BA|HII|HAL|HL|DVN|IWM|XAR|XLE|GILD|XOM|TSM|DLR|RIG|VAL|MU|SLV|AG|NE|PAAS|EOG|AMGN|OXY|INTC|LMT|VRTX|FANG|RCAT
2021-08,-1.5693,-1.5693,-0.0,NVDA|ASML|VAL|DVN|AMD|REGN|NE|ON|VRT|QQQ|SMH|XLK|AMT|KLAC|AVGO|TSM|MRVL|EQIX|ABBV|IBB|GILD|DLR|LLY|GD|IWM|LHX|XLV|XLF|FANG|QCOM|MRNA|AMAT|RIG|OXY|BIIB|NOC|DIA|FCX|LRCX|COP|HII|WPM|GOLD|BNTX|INTC|RTX|XAR|HL|XLE|MU|LMT|HAL|BMY|SLB|TDG|RCAT|VRTX|AG|HWM|XOM|CVX|AMGN|BA|EOG|GDX|SLV|PAAS|NEM
2021-09,5.1298,5.1298,0.0,DVN|RCAT|COP|FANG|GOLD|EOG|OXY|VAL|XLE|XOM|HAL|RIG|NE|SLB|CVX|NOC|RTX|GD|ON|TDG|XLF|BA|LHX|AMD|XAR|MRVL|MRNA|GILD|AVGO|LLY|HWM|ABBV|IWM|DIA|HII|LMT|INTC|XLV|KLAC|VRT|QQQ|XLK|NVDA|FCX|SMH|REGN|BNTX|NEM|IBB|MU|BMY|ASML|AMGN|EQIX|TSM|HL|AMAT|AMT|LRCX|QCOM|SLV|DLR|VRTX|BIIB|GDX|PAAS|AG|WPM
