strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-バランス(+ETF),ORCL,2021-12-13,2021-12-20,96.76699931932905,89.0256,-8.0,6,872.94
V2-バランス(+ETF),ROIV,2021-12-21,2021-12-21,13.180000305175781,12.1256,-8.0,1,844.9
V2-バランス(+ETF),ACN,2021-12-17,2022-01-06,373.48797923011995,362.4915,-2.94,14,858.78
V2-バランス(+ETF),AAPL,2021-12-01,2022-01-10,163.88550209995378,165.1305,0.76,28,878.56
V2-バランス(+ETF),HPQ,2021-12-02,2022-01-19,31.352837325585565,31.8008,1.43,33,864.7
V2-バランス(+ETF),JBL,2021-12-22,2022-01-20,66.11661970410181,64.7377,-2.09,20,833.09
V2-バランス(+ETF),BPOP,2022-01-07,2022-01-20,79.72415639328186,80.2956,0.72,9,828.14
V2-バランス(+ETF),DELL,2022-01-11,2022-01-21,54.76367364780537,51.5098,-5.94,8,829.39
V2-バランス(+ETF),FWONK,2021-12-01,2022-01-24,59.5771598815918,58.1896,-2.33,37,878.56
V2-バランス(+ETF),HSY,2022-01-20,2022-01-27,179.66027561059806,173.2401,-3.57,6,832.28
V2-バランス(+ETF),ED,2022-02-01,2022-02-14,74.95112458292364,71.0036,-5.27,10,817.79
V2-バランス(+ETF),SO,2022-02-01,2022-02-15,59.244683448090626,55.7541,-5.89,11,817.79
V2-バランス(+ETF),MKC,2022-01-31,2022-02-18,89.88619111136667,88.8672,-1.13,15,817.79
V2-バランス(+ETF),CINF,2022-02-17,2022-02-24,115.02157173759423,106.518,-7.39,5,804.16
V2-バランス(+ETF),EG,2022-02-17,2022-02-24,280.77742603293126,263.154,-6.28,5,804.16
V2-バランス(+ETF),ADM,2022-01-31,2022-03-09,66.61669828368817,71.7441,7.7,27,817.79
V2-バランス(+ETF),TRGP,2022-02-01,2022-03-09,54.08343473293348,59.4342,9.89,26,817.79
V2-バランス(+ETF),RMBS,2022-03-21,2022-04-05,31.229999542236328,29.6765,-4.97,12,808.84
V2-バランス(+ETF),LLY,2022-03-21,2022-04-21,277.910297786844,281.899,1.44,23,808.84
V2-バランス(+ETF),STLD,2022-03-21,2022-04-25,80.44424149447714,82.1395,2.11,25,808.84
V2-バランス(+ETF),MCK,2022-03-21,2022-04-25,293.1880696686517,305.9967,4.37,25,808.84
V2-バランス(+ETF),BMY,2022-03-21,2022-04-29,60.51856657244906,62.9268,3.98,29,808.84
V2-バランス(+ETF),EXC,2022-04-07,2022-04-29,42.874298519352955,41.133,-4.06,16,803.56
V2-バランス(+ETF),ASTS,2022-08-17,2022-08-17,14.270000457763672,13.1284,-8.0,1,817.83
V2-バランス(+ETF),APO,2022-12-01,2022-12-06,64.77132625668204,59.5896,-8.0,4,812.08
V2-バランス(+ETF),FLUT,2022-12-01,2022-12-20,148.5,134.57,-9.38,14,812.08
V2-バランス(+ETF),GIS,2022-12-01,2022-12-20,75.2907926401672,73.288,-2.66,14,812.08
V2-バランス(+ETF),SBUX,2022-12-01,2022-12-20,94.54344606471638,90.1406,-4.66,14,812.08
V2-バランス(+ETF),MRNA,2022-12-14,2022-12-28,195.0800018310547,179.4736,-8.0,10,799.96
V2-バランス(+ETF),CMC,2023-01-12,2023-01-19,54.1489175045791,49.817,-8.0,5,763.23
V2-バランス(+ETF),SNX,2023-01-12,2023-01-26,105.42172932030284,96.5195,-8.44,10,763.23
