Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
UDR,2,1,1,50.0,0.26,0.51,3.7,-3.19,1,0,0,0,2
LUV,1,1,0,100.0,0.47,0.47,0.47,0.47,0,0,1,1,0
LUMN,2,1,1,50.0,0.17,0.34,10.57,-10.23,1,1,0,2,0
SW,1,1,0,100.0,0.22,0.22,0.22,0.22,0,1,0,0,1
ZBH,1,1,0,100.0,0.22,0.22,0.22,0.22,0,0,0,0,1
BSX,1,1,0,100.0,0.08,0.08,0.08,0.08,0,0,0,1,0
DAL,1,1,0,100.0,0.07,0.07,0.07,0.07,0,1,0,0,1
DECK,3,0,3,33.3,0.01,0.03,9.8,-6.13,2,1,0,1,2
THC,3,0,3,33.3,0.01,0.03,9.48,-8.0,1,0,1,1,2
JAZZ,1,0,1,0.0,-0.05,-0.05,-0.05,-0.05,0,0,1,0,1
VOYA,1,0,1,0.0,-0.09,-0.09,-0.09,-0.09,0,0,0,0,1
CSCO,1,0,1,0.0,-0.17,-0.17,-0.17,-0.17,0,0,1,0,1
MRK,1,0,1,0.0,-0.22,-0.22,-0.22,-0.22,0,0,1,0,1
WAB,1,0,1,0.0,-0.33,-0.33,-0.33,-0.33,0,0,1,1,0
CVS,1,0,1,0.0,-0.43,-0.43,-0.43,-0.43,0,0,0,0,1
SATS,2,1,1,50.0,-0.23,-0.46,7.54,-8.0,1,1,0,1,1
UNP,1,0,1,0.0,-0.49,-0.49,-0.49,-0.49,0,0,0,0,1
BJ,1,0,1,0.0,-0.58,-0.58,-0.58,-0.58,0,0,1,0,1
VNT,1,0,1,0.0,-0.63,-0.63,-0.63,-0.63,0,0,1,1,0
NFLX,2,1,1,50.0,-0.32,-0.64,6.27,-6.91,1,0,0,1,1
ARMK,1,0,1,0.0,-0.67,-0.67,-0.67,-0.67,0,0,0,0,1
SPG,1,0,1,0.0,-0.74,-0.74,-0.74,-0.74,0,0,0,0,1
SUI,3,0,3,33.3,-0.27,-0.81,5.63,-3.35,2,1,0,0,3
COR,1,0,1,0.0,-0.86,-0.86,-0.86,-0.86,0,0,0,0,1
TJX,1,0,1,0.0,-0.91,-0.91,-0.91,-0.91,0,0,1,0,1
WSM,4,2,2,50.0,-0.23,-0.93,6.94,-8.0,1,2,1,4,0
WTW,1,0,1,0.0,-0.96,-0.96,-0.96,-0.96,0,0,1,0,1
LW,1,0,1,0.0,-0.98,-0.98,-0.98,-0.98,0,0,1,0,1
DKNG,1,0,1,0.0,-1.1,-1.1,-1.1,-1.1,0,0,1,1,0
TTC,2,1,1,50.0,-0.55,-1.11,3.06,-4.17,1,1,0,1,1
WFC,1,0,1,0.0,-1.19,-1.19,-1.19,-1.19,0,0,1,0,1
TRU,2,0,2,0.0,-0.6,-1.2,-0.43,-0.77,0,0,1,0,2
FHN,1,0,1,0.0,-1.28,-1.28,-1.28,-1.28,1,0,0,0,1
NTRA,1,0,1,0.0,-1.28,-1.28,-1.28,-1.28,0,0,1,0,1
CME,1,0,1,0.0,-1.37,-1.37,-1.37,-1.37,0,0,0,0,1
FOXA,2,1,1,50.0,-0.73,-1.46,3.72,-5.18,1,0,0,0,2
FSLR,2,1,1,50.0,-0.75,-1.51,6.49,-8.0,1,1,0,1,1
PODD,1,0,1,0.0,-1.82,-1.82,-1.82,-1.82,0,0,1,0,1
HPQ,1,0,1,0.0,-1.88,-1.88,-1.88,-1.88,0,0,1,0,1
AM,1,0,1,0.0,-1.9,-1.9,-1.9,-1.9,0,0,1,0,1
AR,1,0,1,0.0,-1.99,-1.99,-1.99,-1.99,0,0,0,0,1
BRK-B,1,0,1,0.0,-2.33,-2.33,-2.33,-2.33,0,0,0,0,1
VLO,1,0,1,0.0,-2.34,-2.34,-2.34,-2.34,0,0,0,0,1
XEL,1,0,1,0.0,-2.51,-2.51,-2.51,-2.51,1,0,0,0,1
BAH,2,1,1,50.0,-1.3,-2.61,1.94,-4.55,1,1,0,1,1
ORA,2,1,1,50.0,-1.32,-2.64,3.16,-5.8,1,0,0,1,1
NLY,1,0,1,0.0,-2.64,-2.64,-2.64,-2.64,1,0,0,0,1
ORLY,4,1,3,25.0,-0.66,-2.66,6.22,-4.85,2,0,1,0,4
TSN,1,0,1,0.0,-2.72,-2.72,-2.72,-2.72,1,0,0,0,1
